ticket_id,created_at,category,description,resolution_minutes,escalated,channel,customer_tier
TKT-00763,2025-01-07T21:17:00Z,medical records request,Customer requests records-release instructions under HP-57743.,63,False,phone,employer plan
TKT-02176,2025-01-07T21:32:00Z,billing question,Customer requests an explanation of a service charge for HP-88987.,78,True,email,medicare support
TKT-00543,2025-01-08T02:53:00Z,prescription refill request,Customer asks for refill-request routing under HP-22499.,93,False,phone,medicare support
TKT-01915,2025-01-08T03:16:00Z,appointment scheduling,Caller requests an appointment-time change under HP-73402.,12,False,phone,premium care
TKT-00830,2025-01-08T03:22:00Z,referral status,Referral routing update requested under HP-39580.,35,False,email,medicare support
TKT-02285,2025-01-08T04:35:00Z,medical records request,Customer requests records-release instructions under HP-25427.,83,False,email,standard
TKT-00933,2025-01-08T04:45:00Z,billing question,Customer requests an explanation of a service charge for HP-41650.,26,False,email,standard
TKT-01349,2025-01-08T05:00:00Z,billing question,Payment posting question references HP-51655.,60,False,email,premium care
TKT-00392,2025-01-08T07:48:00Z,portal access,Customer reports a locked portal account under HP-32677.,10,False,chat,standard
TKT-01863,2025-01-08T08:16:00Z,insurance eligibility,Coverage administration question references HP-13508.,71,True,phone,standard
TKT-00958,2025-01-08T09:28:00Z,insurance eligibility,Coverage administration question references HP-47848.,53,False,phone,standard
TKT-01487,2025-01-08T09:49:00Z,prescription refill request,Customer asks for refill-request routing under HP-67523.,74,False,phone,employer plan
TKT-01791,2025-01-08T19:56:00Z,appointment scheduling,Administrative scheduling request for reference HP-71184.,21,False,web portal,medicare support
TKT-01936,2025-01-09T00:44:00Z,prescription refill request,Refill request status inquiry references HP-87981; no clinical details included.,56,False,email,standard
TKT-00909,2025-01-09T00:52:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-65388.,67,False,phone,standard
TKT-02878,2025-01-09T01:32:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-90287.,42,False,phone,employer plan
TKT-02960,2025-01-09T03:07:00Z,portal access,Customer cannot access the service portal under HP-37231.,7,False,chat,premium care
TKT-02396,2025-01-09T04:10:00Z,billing question,Customer requests an explanation of a service charge for HP-13700.,80,True,email,premium care
TKT-01626,2025-01-09T04:26:00Z,prescription refill request,Refill request status inquiry references HP-87630; no clinical details included.,74,True,phone,premium care
TKT-00004,2025-01-09T06:10:00Z,prescription refill request,Customer asks for refill-request routing under HP-93152.,39,False,web portal,standard
TKT-02399,2025-01-09T07:51:00Z,referral status,Customer asks whether referral paperwork was received for HP-50695.,20,False,phone,standard
TKT-01983,2025-01-09T09:00:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-53956.,82,False,phone,standard
TKT-02618,2025-01-09T10:23:00Z,billing question,Customer asks about an administrative statement under HP-40310.,51,True,web portal,employer plan
TKT-01395,2025-01-09T13:24:00Z,insurance eligibility,Coverage administration question references HP-15966.,36,False,phone,standard
TKT-01710,2025-01-09T14:10:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-89531.,69,False,phone,standard
TKT-01147,2025-01-09T17:22:00Z,medical records request,Customer asks which authorization form applies to HP-88267.,84,False,email,medicare support
TKT-00969,2025-01-09T18:09:00Z,appointment scheduling,Customer asks about available scheduling options for HP-85339.,26,False,web portal,medicare support
TKT-00686,2025-01-09T19:12:00Z,appointment scheduling,Customer asks about available scheduling options for HP-77846.,25,False,phone,standard
TKT-00422,2025-01-09T20:12:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-96689.,58,False,chat,standard
TKT-00982,2025-01-09T20:30:00Z,prescription refill request,Customer asks for refill-request routing under HP-63537.,64,False,email,medicare support
TKT-02151,2025-01-09T22:27:00Z,portal access,Customer reports a locked portal account under HP-31999.,5,False,email,premium care
TKT-01802,2025-01-10T00:31:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-48345.,136,True,phone,standard
TKT-02243,2025-01-10T02:30:00Z,prescription refill request,Customer asks for refill-request routing under HP-99136.,58,False,web portal,employer plan
TKT-01997,2025-01-10T03:24:00Z,medical records request,Customer requests records-release instructions under HP-53622.,67,False,email,employer plan
TKT-01725,2025-01-10T04:28:00Z,appointment scheduling,Administrative scheduling request for reference HP-19199.,10,False,web portal,medicare support
TKT-00026,2025-01-10T05:14:00Z,insurance eligibility,Coverage administration question references HP-66858.,40,False,email,medicare support
TKT-00849,2025-01-10T05:33:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-17043.,90,False,phone,standard
TKT-01504,2025-01-10T06:12:00Z,referral status,Customer requests administrative referral status for HP-18495.,41,False,web portal,medicare support
TKT-01448,2025-01-10T09:04:00Z,insurance eligibility,Coverage administration question references HP-57334.,48,False,web portal,employer plan
TKT-02487,2025-01-10T12:20:00Z,appointment scheduling,Caller requests an appointment-time change under HP-83726.,17,False,web portal,standard
TKT-00075,2025-01-10T14:24:00Z,billing question,Customer asks about an administrative statement under HP-71740.,28,False,web portal,standard
TKT-00991,2025-01-10T16:38:00Z,billing question,Customer asks about an administrative statement under HP-95907.,26,False,email,standard
TKT-02378,2025-01-10T18:38:00Z,appointment scheduling,Caller requests an appointment-time change under HP-93944.,18,False,chat,employer plan
TKT-01606,2025-01-10T20:45:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-12974.,83,False,email,employer plan
TKT-01594,2025-01-10T20:47:00Z,prescription refill request,Refill request status inquiry references HP-61891; no clinical details included.,90,False,phone,premium care
TKT-01291,2025-01-10T21:04:00Z,prescription refill request,Refill request status inquiry references HP-61625; no clinical details included.,92,False,phone,standard
TKT-00303,2025-01-10T23:05:00Z,medical records request,Customer asks which authorization form applies to HP-91044.,118,False,email,standard
TKT-01833,2025-01-11T03:29:00Z,insurance eligibility,Coverage administration question references HP-26271.,88,True,phone,employer plan
TKT-01500,2025-01-11T04:32:00Z,appointment scheduling,Caller requests an appointment-time change under HP-35773.,18,False,web portal,medicare support
TKT-00172,2025-01-11T04:34:00Z,appointment scheduling,Administrative scheduling request for reference HP-90499.,19,False,email,employer plan
TKT-00929,2025-01-11T04:42:00Z,referral status,Customer asks whether referral paperwork was received for HP-28732.,54,False,web portal,standard
TKT-02266,2025-01-11T07:39:00Z,prescription refill request,Refill request status inquiry references HP-51088; no clinical details included.,81,False,web portal,standard
TKT-01849,2025-01-11T10:16:00Z,portal access,Portal password reset requested for HP-30068.,11,False,web portal,standard
TKT-01079,2025-01-11T13:50:00Z,referral status,Customer asks whether referral paperwork was received for HP-70157.,25,False,email,employer plan
TKT-01494,2025-01-11T18:13:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-80948.,66,False,chat,employer plan
TKT-02441,2025-01-11T19:58:00Z,portal access,Customer reports a locked portal account under HP-40872.,9,False,web portal,premium care
TKT-00148,2025-01-11T20:55:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-22192.,83,False,web portal,employer plan
TKT-02297,2025-01-11T23:45:00Z,portal access,Customer cannot access the service portal under HP-84843.,9,False,web portal,standard
TKT-00466,2025-01-12T00:49:00Z,portal access,Portal password reset requested for HP-63330.,7,False,web portal,medicare support
TKT-02549,2025-01-12T06:34:00Z,appointment scheduling,Administrative scheduling request for reference HP-60515.,27,False,phone,medicare support
TKT-00164,2025-01-12T07:11:00Z,appointment scheduling,Caller requests an appointment-time change under HP-11762.,23,False,phone,employer plan
TKT-00489,2025-01-12T07:48:00Z,appointment scheduling,Administrative scheduling request for reference HP-62384.,9,False,chat,standard
TKT-01088,2025-01-12T07:48:00Z,appointment scheduling,Customer asks about available scheduling options for HP-90497.,27,False,phone,employer plan
TKT-00484,2025-01-12T08:52:00Z,portal access,Portal password reset requested for HP-20000.,14,False,web portal,standard
TKT-00180,2025-01-12T09:12:00Z,portal access,Customer cannot access the service portal under HP-81886.,6,False,chat,medicare support
TKT-01495,2025-01-12T09:36:00Z,prescription refill request,Refill request status inquiry references HP-10921; no clinical details included.,117,True,phone,premium care
TKT-01323,2025-01-12T11:09:00Z,appointment scheduling,Customer asks about available scheduling options for HP-48886.,16,False,phone,standard
TKT-02418,2025-01-12T12:11:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-53410.,51,False,phone,standard
TKT-01568,2025-01-12T12:26:00Z,portal access,Customer cannot access the service portal under HP-10445.,9,False,web portal,standard
TKT-01888,2025-01-12T13:35:00Z,referral status,Customer requests administrative referral status for HP-46828.,22,False,web portal,employer plan
TKT-02042,2025-01-12T14:57:00Z,appointment scheduling,Administrative scheduling request for reference HP-12278.,8,False,phone,medicare support
TKT-02463,2025-01-12T16:12:00Z,portal access,Customer cannot access the service portal under HP-28088.,4,False,web portal,standard
TKT-00531,2025-01-12T16:46:00Z,insurance eligibility,Coverage administration question references HP-39781.,70,False,phone,premium care
TKT-02475,2025-01-12T17:22:00Z,portal access,Customer reports a locked portal account under HP-64496.,4,False,web portal,employer plan
TKT-01647,2025-01-12T17:33:00Z,prescription refill request,Customer asks for refill-request routing under HP-88922.,55,False,phone,standard
TKT-02183,2025-01-12T18:04:00Z,general inquiry,Multi-topic non-clinical inquiry recorded as HP-96483.,86,False,phone,premium care
TKT-00588,2025-01-12T20:10:00Z,portal access,Customer reports a locked portal account under HP-29143.,64,True,web portal,employer plan
TKT-01680,2025-01-12T21:43:00Z,medical records request,Records request status inquiry references HP-29329.,73,False,email,employer plan
TKT-00118,2025-01-13T00:34:00Z,general inquiry,Multi-topic non-clinical inquiry recorded as HP-63537.,68,True,web portal,employer plan
TKT-02060,2025-01-13T01:32:00Z,portal access,Customer cannot access the service portal under HP-42636.,15,False,web portal,employer plan
TKT-00770,2025-01-13T01:38:00Z,general inquiry,Customer request requires manual routing under HP-50480.,78,False,chat,employer plan
TKT-02767,2025-01-13T03:23:00Z,referral status,Referral routing update requested under HP-33902.,38,False,web portal,standard
TKT-00603,2025-01-13T03:35:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-63534.,126,True,phone,employer plan
TKT-02750,2025-01-13T05:00:00Z,insurance eligibility,Coverage administration question references HP-78338.,42,False,web portal,standard
TKT-01938,2025-01-13T05:14:00Z,appointment scheduling,Administrative scheduling request for reference HP-56624.,15,False,phone,medicare support
TKT-00689,2025-01-13T05:27:00Z,billing question,Customer asks about an administrative statement under HP-57454.,46,False,phone,employer plan
TKT-01140,2025-01-13T05:51:00Z,portal access,Portal password reset requested for HP-93838.,15,False,web portal,employer plan
TKT-01515,2025-01-13T10:34:00Z,portal access,Portal password reset requested for HP-53585.,14,False,web portal,medicare support
TKT-02736,2025-01-13T11:55:00Z,billing question,Customer asks about an administrative statement under HP-74562.,52,False,email,premium care
TKT-01024,2025-01-13T12:12:00Z,billing question,Customer requests an explanation of a service charge for HP-13187.,30,False,email,standard
TKT-02770,2025-01-13T13:20:00Z,appointment scheduling,Administrative scheduling request for reference HP-54368.,8,False,phone,employer plan
TKT-00250,2025-01-13T16:56:00Z,appointment scheduling,Caller requests an appointment-time change under HP-28143.,17,False,phone,employer plan
TKT-00839,2025-01-13T18:30:00Z,general inquiry,Uncategorized administrative inquiry references HP-80864.,32,False,phone,employer plan
TKT-01130,2025-01-13T19:17:00Z,billing question,Payment posting question references HP-10941.,25,False,email,employer plan
TKT-01955,2025-01-13T19:52:00Z,portal access,Portal password reset requested for HP-44733.,6,False,web portal,standard
TKT-02047,2025-01-13T20:21:00Z,appointment scheduling,Administrative scheduling request for reference HP-16882.,9,False,email,standard
TKT-02414,2025-01-13T20:49:00Z,referral status,Customer asks whether referral paperwork was received for HP-13134.,54,False,phone,employer plan
TKT-02653,2025-01-13T21:57:00Z,prescription refill request,Customer asks for refill-request routing under HP-19851.,95,True,web portal,standard
TKT-01807,2025-01-13T23:00:00Z,medical records request,Customer requests records-release instructions under HP-69774.,70,False,email,standard
TKT-01253,2025-01-13T23:34:00Z,portal access,Customer cannot access the service portal under HP-15568.,10,False,chat,standard
TKT-00207,2025-01-13T23:36:00Z,appointment scheduling,Caller requests an appointment-time change under HP-25659.,16,False,phone,standard
TKT-01645,2025-01-13T23:52:00Z,referral status,Customer requests administrative referral status for HP-46697.,55,False,email,employer plan
TKT-01545,2025-01-14T00:46:00Z,appointment scheduling,Customer asks about available scheduling options for HP-21630.,20,False,phone,standard
TKT-00533,2025-01-14T01:14:00Z,billing question,Payment posting question references HP-94409.,29,False,email,medicare support
TKT-00893,2025-01-14T03:31:00Z,portal access,Customer reports a locked portal account under HP-18879.,6,False,web portal,standard
TKT-00594,2025-01-14T03:52:00Z,appointment scheduling,Administrative scheduling request for reference HP-92705.,21,False,web portal,standard
TKT-02175,2025-01-14T03:58:00Z,appointment scheduling,Administrative scheduling request for reference HP-34818.,20,False,phone,medicare support
TKT-01661,2025-01-14T04:03:00Z,insurance eligibility,Employer-plan eligibility status needs validation for HP-17776.,61,False,web portal,standard
TKT-01294,2025-01-14T04:11:00Z,appointment scheduling,Caller requests an appointment-time change under HP-33621.,22,False,email,standard
TKT-00549,2025-01-14T05:52:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-80565.,112,True,phone,employer plan
TKT-02343,2025-01-14T06:36:00Z,billing question,Customer requests an explanation of a service charge for HP-40095.,57,True,phone,standard
TKT-01098,2025-01-14T06:43:00Z,appointment scheduling,Caller requests an appointment-time change under HP-63916.,83,True,phone,standard
TKT-02592,2025-01-14T09:19:00Z,appointment scheduling,Caller requests an appointment-time change under HP-25544.,21,False,chat,employer plan
TKT-00885,2025-01-14T10:03:00Z,appointment scheduling,Customer asks about available scheduling options for HP-73124.,19,False,chat,standard
TKT-01940,2025-01-14T10:27:00Z,prescription refill request,Customer asks for refill-request routing under HP-57201.,108,True,phone,employer plan
TKT-00822,2025-01-14T11:26:00Z,portal access,Portal password reset requested for HP-11569.,12,False,web portal,employer plan
TKT-01579,2025-01-14T13:25:00Z,appointment scheduling,Administrative scheduling request for reference HP-14966.,27,False,phone,medicare support
TKT-02584,2025-01-14T13:56:00Z,prescription refill request,Administrative refill request requires licensed-team review under HP-92094.,116,True,phone,standard
TKT-00698,2025-01-14T14:47:00Z,prescription refill request,Refill request status inquiry references HP-42899; no clinical details included.,68,False,phone,employer plan
TKT-02092,2025-01-14T16:14:00Z,appointment scheduling,Customer asks about available scheduling options for HP-26509.,24,False,phone,medicare support
TKT-02821,2025-01-14T17:37:00Z,general inquiry,Uncategorized administrative inquiry references HP-38836.,43,False,phone,employer plan
TKT-01708,2025-01-14T21:28:00Z,medical records request,Customer requests records-release instructions under HP-76572.,75,False,email,medicare support
TKT-00131,2025-01-14T21:31:00Z,appointment scheduling,Caller requests an appointment-time change under HP-78181.,12,False,web portal,medicare support
TKT-02567,2025-01-15T00:26:00Z,appointment scheduling,Caller requests an appointment-time change under HP-96084.,10,False,phone,standard
TKT-02223,2025-01-15T03:30:00Z,portal access,Customer cannot access the service portal under HP-58212.,11,False,web portal,standard
TKT-00439,2025-01-15T07:29:00Z,billing question,Payment posting question references HP-63041.,76,True,email,medicare support
TKT-02474,2025-01-15T11:39:00Z,insurance eligibility,Customer requests administrative eligibility verification for HP-70551.,34,False,phone,medicare support
TKT-02936,2025-01-15T12:45:00Z,referral status,Referral routing update requested under HP-15051.,48,False,phone,standard
TKT-01636,2025-01-15T13:43:00Z,billing question,Customer asks about an administrative statement under HP-67132.,26,False,email,standard
TKT-00127,2025-01-15T14:41:00Z,billing question,Payment posting question references HP-12963.,87,True,web portal,standard
TKT-00542,2025-01-15T14:49:00Z,appointment scheduling,Customer asks about available scheduling options for HP-29065.,24,False,email,standard
TKT-02779,2025-01-15T16:22:00Z,general inquiry,Customer request requires manual routing under HP-17624.,36,True,email,employer plan
TKT-01589,2025-01-15T16:30:00Z,referral status,Referral routing update requested under HP-43922.,72,True,web portal,medicare support
TKT-02096,2025-01-15T19:02:00Z,appointment scheduling,Customer asks about available scheduling options for HP-29067.,31,True,web portal,premium care
TKT-00813,2025-01-15T19:48:00Z,referral status,Customer requests administrative referral status for HP-49066.,35,False,email,medicare support
TKT-01357,2025-01-15T19:56:00Z,appointment scheduling,Customer asks about available scheduling options for HP-88809.,24,False,phone,medicare support
TKT-02726,2025-01-15T20:48:00Z,appointment scheduling,Customer asks about available scheduling options for HP-27773.,8,False,email,premium care
